SensorID,NodeID,Latitude,Longitude,TransformedX,TransformedY,Distance
2791,1897559077,37.073126,-113.584173,-1.4597582887111293E7,3643368.2416960355,146604.02890476648
1460,492500452,40.901566,-111.891267,-1.443979179268998E7,4002309.1699671657,134020.51568915157
8097,492500452,41.139605,-111.853837,-1.4437074265662372E7,4023569.1642103107,140820.60348254768
8095,492500452,41.138629,-111.832006,-1.4434768841812234E7,4023617.2202186845,142575.6621743511
8096,492500452,41.139768,-111.847314,-1.4436387753464414E7,4023623.6169423736,141356.3782716288
1459,492500452,40.891851,-111.896648,-1.4440308600478822E7,4001416.1853674278,133524.24771113455
2306,492500452,40.725504,-111.989959,-1.4449279634007003E7,3986098.7619647505,126295.96152939476
2300,492500452,40.725572,-112.031537,-1.4453660533566875E7,3985849.0731899734,122811.66924078872
88001,492500452,41.954491,-111.395658,-1.43929440779407E7,4097789.4534373963,213922.27687056962
88000,492500452,41.954519,-111.395622,-1.4392940425049853E7,4097792.112018238,213926.49796913262
500000,492500452,40.771584,-111.926461,-1.4442828139293833E7,3990577.081414974,131191.5302951205
1,492500452,40.712506,-111.807312,-1.4429969134754242E7,3986067.584336323,141755.2416242689
2,492500452,40.706905,-111.79676,-1.442882842514413E7,3985635.2051821323,142707.00406121285
2314,492500452,40.725523,-111.955869,-1.4445688097516395E7,3986310.0591090135,129152.54091163338
4,492500452,40.701975,-111.795354,-1.442865478433326E7,3985206.1867055064,142886.32995765752
1465,492500452,41.177866,-112.010946,-1.44538262429038E7,4025976.353121309,129207.6499842545
5,492500452,40.69676,-111.795862,-1.4428681320287827E7,3984740.0788450763,142911.15658281074
6,492500452,40.689883,-111.797397,-1.4428807453784272E7,3984120.055955037,142875.11036873845
1463,492500452,40.924142,-111.890769,-1.443985584482045E7,4004310.034661564,134198.67772473476
2310,492500452,40.726223,-111.972893,-1.4447485328273002E7,3986267.5101197916,127717.67175087857
7,492500452,40.686473,-111.797678,-1.4428819410452293E7,3983815.5388926733,142898.94260670117
500001,492500452,40.771436,-111.926464,-1.4442827689642167E7,3990563.9379188665,131192.33143123233
5820,492500452,40.578956,-111.674696,-1.4415306024957156E7,3975015.383190541,155068.425660206
9,492500452,40.683252,-111.797668,-1.4428801685704827E7,3983529.576741825,142945.41090126912
5822,492500452,40.583448,-111.656529,-1.4413415344579937E7,3975526.345695612,156477.95710912818
5825,492500452,40.589066,-111.643671,-1.4412089805044612E7,3976104.8379880004,157427.40178482645
2318,492500452,40.723758,-111.941707,-1.4444186885298096E7,3986240.486043289,130359.93836178968
5826,492500452,40.589954,-111.637799,-1.4411475768735606E7,3976219.822277023,157896.52440782468
3103745,352868238,38.954441,-109.755087,-1.4204668808077462E7,3840464.5596952774,120555.37403588393
3103744,352868238,38.955101,-109.755323,-1.420469710946324E7,3840523.2520038043,120569.50381014036
5840,492500452,40.579005,-111.674715,-1.4415308280448912E7,3975019.6247828114,155065.79366798315
2330,492500452,40.72479,-111.913784,-1.4441250330987228E7,3986503.707286003,132688.46025593212
147453,492500452,41.066307,-112.05981,-1.4458400586154507E7,4015835.2001016955,122207.74456129197
5838,492500452,40.583513,-111.656584,-1.4413421475582898E7,3975531.789152372,156472.02350499245
147446,492500452,41.085453,-112.078412,-1.4460459388120288E7,4017410.7752150297,121132.77080838256
2322,492500452,40.724044,-111.920597,-1.4441964269703481E7,3986395.6282166783,132125.91255305175
5836,492500452,40.589992,-111.637817,-1.4411477861824742E7,3976223.0911145285,157894.25158908844
5837,492500452,40.589111,-111.643673,-1.4412090248735866E7,3976108.827504085,157426.31097870297
18120,492500452,41.050983,-111.622044,-1.4412194150595011E7,4017171.604975979,158095.59450385274
4520,492500452,40.728936,-111.905444,-1.4440393110853625E7,3986922.8923515147,133341.36836761504
1495,492500452,40.82843,-111.91649,-1.4442071565585485E7,3995677.451822508,131779.24603647733
147462,492500452,41.049589,-112.015116,-1.445360499976614E7,4014634.0423136926,125531.48428451509
2342,492500452,40.726486,-111.963386,-1.4446485056803577E7,3986349.3038305757,128511.40286264684
2338,492500452,40.725078,-111.947,-1.444475137761866E7,3986325.092365593,129901.01371769415
1489,492500452,40.859444,-111.904269,-1.4440944202203834E7,3998499.9490310485,132798.1196271935
1004,492500452,40.696776,-111.795963,-1.4428692044122126E7,3984740.879166907,142902.49158357235
2334,492500452,40.724472,-111.935813,-1.4443569605487008E7,3986340.0827815277,130845.63301451497
1001,492500452,40.713162,-111.805779,-1.4429811015969869E7,3986135.226769015,141875.95793049902
89348,492500452,40.817889,-111.916462,-1.444201412467713E7,3994743.551319186,131805.15287915582
89342,492500452,40.745653,-111.888152,-1.443865777637524E7,3988512.4392165258,134622.56670437593
1009,492500452,40.683259,-111.797789,-1.4428814470047837E7,3983529.455316815,142935.19117654234
89370,1897559077,39.40367,-111.5675,-1.4397876633319652E7,3870221.1898232372,187635.60275318287
5860,492500452,40.571723,-111.771426,-1.4425459285423739E7,3973778.377906362,147229.51261392844
5862,492500452,40.574021,-111.77914,-1.4426283884250844E7,3973935.424421964,146538.9632610834
3200,492500452,40.763997,-111.986173,-1.4449080075497942E7,3989537.0919799437,126231.88027184803
2352,492500452,40.726113,-112.021399,-1.4452595224239208E7,3985959.4441202655,123654.48150983758
1020,492500452,40.63513,-111.811762,-1.4430037385879828E7,3979168.150902667,142558.85872689914
2346,492500452,40.726229,-111.983083,-1.4448558951731686E7,3986205.3844518233,126863.63726828447
1013,492500452,40.672277,-111.804632,-1.442947857371731E7,3982512.130842826,142525.75314802263
2363,492500452,40.479937,-111.902087,-1.4438748111228306E7,3964805.695456022,139102.36814447632
59971,492500452,40.69653,-112.066571,-1.4457201068567377E7,3983055.659176422,120277.86327617643
1031,492500452,40.630296,-111.869755,-1.4436122148811895E7,3978382.3263443047,137828.77373296226
59970,492500452,40.696462,-112.066572,-1.4457200821341546E7,3983049.615753128,120278.81838366557
3207,492500452,40.76278,-111.954317,-1.4445717463967694E7,3989625.02534485,128917.57382944912
1025,492500452,40.632116,-111.83855,-1.4432844003095668E7,3978735.771746754,140387.27740464004
600,492500452,40.720626,-111.777667,-1.4426887815248037E7,3986970.3306682617,144147.66708586982
602,492500452,40.724235,-111.77267,-1.4426380007848838E7,3987321.307393156,144527.65322241624
604,492500452,40.728356,-111.765319,-1.4425626832764763E7,3987732.153634509,145101.1575303087
605,492500452,40.732192,-111.755469,-1.442460889004243E7,3988133.026565833,145888.94774147106
607,492500452,40.734242,-111.747664,-1.4423797167499203E7,3988362.846415931,146523.89007112492
609,492500452,40.741097,-111.741475,-1.4423180541663004E7,3989009.0733682793,146978.92394666022
3209,492500452,40.764879,-111.945581,-1.4444807911302205E7,3989864.8994000866,129634.85518873995
4551,492500452,40.625207,-111.903494,-1.4439650306784516E7,3977722.720834873,135128.68031825917
40001,492500452,40.692924,-112.264386,-1.4478023308188057E7,3981517.488293695,103844.81739066022
4553,492500452,40.540309,-111.893907,-1.4438199878871627E7,3970231.1081355833,137951.68056039285
5400,492500452,40.640922,-111.938945,-1.4443466688584935E7,3978901.4056272903,131873.78622290105
40000,492500452,40.692821,-112.264187,-1.4478001807599414E7,3981509.5693355487,103863.21440524021
3221,492500452,40.717577,-111.901515,-1.4439920358220255E7,3985938.9525813223,133800.9541528336
2373,492500452,40.523928,-111.890688,-1.4437775717350433E7,3968792.9079620717,138676.32040164026
2368,492500452,40.499903,-111.890802,-1.4437662969527742E7,3966653.2281642696,139383.5750450594
610,492500452,40.743067,-111.732061,-1.4422198878005693E7,3989241.642354338,147751.6578199125
611,492500452,40.746661,-111.725289,-1.4421503963683387E7,3989602.064276528,148288.92765351062
1035,492500452,40.635108,-111.898038,-1.443912682165418E7,3978636.1797447996,135385.31115694117
612,492500452,40.751543,-111.717195,-1.4420676417572143E7,3990084.8402521154,148927.927704622
1034,492500452,40.632521,-111.89114,-1.4438386679013915E7,3978448.6668183827,136008.73282351694
613,492500452,40.749189,-111.709929,-1.4419898714492645E7,3989920.6055790773,149557.7150383382
614,492500452,40.748532,-111.70024,-1.4418874496101493E7,3989921.780038071,150377.0877172112
